"rides","end_station_name","end_lat","end_lng"
10775,"Central Park S & 6 Ave","40.76590936","-73.97634151"
9103,"7 Ave & Central Park South","40.7667405590595","-73.9790689945221"
5774,"2 Ave & E 72 St","40.7687620293096","-73.95840793848038"
10482,"Broadway & W 58 St","40.76695317","-73.98169333"
7000,"1 Ave & E 78 St","40.77140426","-73.9535166"
6460,"West End Ave & W 60 St","40.77237","-73.99005"
7716,"Central Park West & W 68 St","40.7734066","-73.97782542"
7926,"5 Ave & E 72 St","40.77282817","-73.96685276"
7517,"Central Park West & W 72 St","40.77579376683666","-73.9762057363987"
6345,"Columbus Ave & W 72 St","40.7770575","-73.97898475"
5816,"Riverside Blvd & W 67 St","40.777507027547976","-73.98888587951659"
5443,"E 85 St & 3 Ave","40.77801203","-73.95407149"
6670,"Amsterdam Ave & W 73 St","40.77966809007312","-73.98093044757842"
6458,"5 Ave & E 87 St","40.78232260730881","-73.95987510681152"
6453,"Central Park W & W 91 St","40.788665","-73.966801"
5719,"Central Park W & W 97 St","40.79249519495111","-73.96417066463071"
6404,"Central Park North & Adam Clayton Powell Blvd","40.799484","-73.955613"
