count(*),end_station_name,end_lat,end_lng
5611,"E 2 St & Avenue B",40.72217444,-73.98368779
5603,"Broadway & W 38 St",40.7529728216068,-73.98734897375107
5603,"E 27 St & 1 Ave",40.739445,-73.976806
5594,"E 15 St & 3 Ave",40.734232,-73.986923
5575,"1 Ave & E 6 St",40.72633085971696,-73.98616880178452
5571,"Metropolitan Ave & Bedford Ave",40.71534825,-73.96024116
5556,"W 34 St &\tHudson Blvd E",40.75516719072139,-74.00059908628464
5554,"Hudson St & W 13 St",40.74005708567285,-74.0052741765976
5525,"FDR Drive & E 35 St",40.744219,-73.97121214
5522,"W 29 St & 9 Ave",40.7500727,-73.99839279
5491,"Allen St & Stanton St",40.722055,-73.989111
5489,"W 26 St & 10 Ave",40.749717753,-74.002950346
5475,"Little West St & 1 Pl",40.705693,-74.016777
5443,"E 85 St & 3 Ave",40.77801203,-73.95407149
5436,"W 27 St & 7 Ave",40.746647,-73.993915
5434,"Broadway & W 61 St",40.77003010255044,-73.9819684624672
5428,"W 70 St & Amsterdam Ave",40.77748046,-73.98288594
5428,"N 6 St & Bedford Ave",40.71745169,-73.95850939
5420,"W 54 St & 11 Ave",40.768333,-73.992573
5418,"W 63 St & Broadway",40.77163851,-73.98261428
5411,"Forsyth St\t& Grand St",40.71779817737835,-73.99316132068634
5399,"2 Ave & E 31 St",40.74290902,-73.97706058
5398,"Mott St & Prince St",40.72317958,-73.99480012
5391,"W 44 St & 5 Ave",40.75500254,-73.98014437
5386,"Amsterdam Ave & W 79 St",40.7829391,-73.9786517
5385,"Canal St & Rutgers St",40.71427487,-73.98990025
5365,"E 20 St & 2 Ave",40.73587678,-73.98205027
5301,"Cooper Square & Astor Pl",40.72951496224949,-73.99075269699097
5269,"E 23 St & 1 Ave",40.736502,-73.97809472
5260,"Central Park West & W 85 St",40.78476,-73.969862
5251,"9 Ave & W 18 St",40.74317449,-74.00366443
5233,"E 25 St & 2 Ave",40.73912601,-73.97973776
5221,"E 16 St & Irving Pl",40.735367055605394,-73.98797392845154
5178,"St Marks Pl & 2 Ave",40.7284186,-73.98713956
5159,"Bleecker St & Crosby St",40.72615604980408,-73.99510189890862
5148,"E 32 St & Park Ave",40.7457121,-73.98194829
5121,"5 Ave & E 78 St",40.77632142182271,-73.96427392959595
5112,"E 58 St & 3 Ave",40.76095756,-73.96724467
5104,"E 2 St & Avenue C",40.7208736,-73.98085795
5098,"E 11 St & 1 Ave",40.72953837,-73.98426726
5086,"E 44 St & Lexington Ave",40.752643,-73.974996
5078,"E 72 St & York Ave",40.76663814,-73.95348296
5061,"8 Ave & W 52 St",40.76370739,-73.9851615
5037,"West Drive & Prospect Park West",40.6610633719006,-73.97945255041122
5026,"Broadway\t& W 48 St",40.76017739537783,-73.98486793041229
4994,"W 47 St & 10 Ave",40.76269882,-73.99301222
4987,"W 51 St & 6 Ave",40.7606597,-73.98042047
4973,"University Pl & E 8 St",40.73143724085228,-73.99490341544151
4946,"Greenwich St & W Houston St",40.728846,-74.008591
4922,"E 20 St & FDR Dr",40.733208626522426,-73.9756813647
4917,"6 Ave & Broome St",40.72431,-74.00473
4914,"Sullivan St & Washington Sq",40.73047747,-73.99906065
4905,"W 67 St & Broadway",40.77492513,-73.98266566
4827,"4 Ave & E 12 St",40.732647,-73.99011
4816,"Hanson Pl & Ashland Pl",40.68506807308177,-73.97790759801863
4813,"Washington Square E",40.73049393,-73.9957214
4763,"Greenwich Ave & Charles St",40.735238,-74.000271
4731,"W 59 St & 10 Ave",40.770513,-73.988038
4728,"7 Ave S & Bleecker St",40.73213896287381,-74.00363802909851
4727,"E 2 St & Avenue A",40.72307749068673,-73.98583620786667
4710,"Queens Plaza North & Crescent St",40.75110165,-73.94073717
4696,"Broadway & W 51 St",40.76228826,-73.98336183
4667,"11 Ave & W 59 St",40.77149671054441,-73.99046033620834
4662,"Henry St & Grand St",40.714211,-73.981095
4651,"Stanton St & Norfolk St",40.720747,-73.986274
4641,"E 14 St & 1 Ave",40.73139303364151,-73.98286700248718
4613,"Perry St & Bleecker St",40.73535398,-74.00483091
4612,"Broadway & Berry St",40.71044554,-73.96525063
4601,"Spring St & Hudson St",40.72583996792375,-74.0076532959938
4586,"W 95 St & Broadway",40.7937704,-73.971888
4577,"Howard St & Lafayette St",40.71910537,-73.99973337
4572,"E 10 St & 2 Ave",40.72970805644994,-73.9865979552269
4567,"W 42 St & 8 Ave",40.7575699,-73.99098507
4545,"W 37 St & 10 Ave",40.75660359,-73.9979009
4539,"West Thames St",40.70834698,-74.01713445
4510,"E 39 St & Lexington Ave",40.749498546025194,-73.97729203113158
4504,"W 11 St & 6 Ave",40.73532427,-73.99800419
4504,"Washington Pl & 6 Ave",40.73224119,-74.00026394
4478,"South St & Whitehall St",40.70122128,-74.01234218
4463,"MacDougal St & Prince St",40.72710258,-74.00297088
4458,"E 19 St & 3 Ave",40.73624527,-73.98473765
4455,"5 Ave & E 93 St",40.7857851,-73.957481
4439,"W 24 St & 7 Ave",40.74487634,-73.99529885
4428,"W 54 St & 9 Ave",40.76584941,-73.98690506
4426,"W 55 St & 6 Ave",40.763189,-73.978434
4426,"E 4 St & 2 Ave",40.7262807,-73.98978041
4425,"S 3 St & Bedford Ave",40.71260486,-73.96264403
4412,"Central Park West & W 76 St",40.77896784,-73.97374737
4395,"South St & Gouverneur Ln",40.70355377,-74.00670227
4370,"Amsterdam Ave & W 82 St",40.78524672,-73.97667321
4362,"LaGuardia Pl & W 3 St",40.72917025,-73.99810231
4361,"E 39 St & 2 Ave",40.748033194287665,-73.973827958107
4358,"E 11 St & 3 Ave",40.73127,-73.98849
4352,"Riverside Dr & W 72 St",40.78057799010334,-73.98562431335449
4349,"E 47 St & Park Ave",40.755103,-73.974987
