"rides","end station name","end station latitude","end station longitude"
230,"Myrtle Ave & Lewis Ave",40.69681963,-73.93756926
297,"Union Ave & Wallabout St",40.70029511,-73.95032283
273,"Tompkins Ave & Hopkins St",40.69957608,-73.94708417
496,"Broadway & Whipple St",40.7016657,-73.9437303
297,"Humboldt St & Varet St",40.7031724,-73.940636
175,"Lorimer St & Broadway",40.70411791,-73.94818595
1630,"Canal St & Rutgers St",40.71427487,-73.98990025
357,"McKibbin St & Manhattan Ave",40.70510918,-73.94407279
362,"Boerum St & Broadway",40.70538077,-73.94976519
281,"Leonard St & Boerum St",40.70583339,-73.94644578
586,"Montrose Ave & Bushwick Ave",40.70767788,-73.94016171
131,"Division Ave & Marcy Ave",40.70708701,-73.95796783
535,"Scholes St & Manhattan Ave",40.70870368,-73.9448625
746,"Stagg St & Union Ave",40.70877084,-73.95095259
532,"Broadway & Roebling St",40.70924826276157,-73.96063148975372
649,"St James Pl & Oliver St",40.71307916,-73.99851193
577,"S 4 St & Rodney St",40.70934,-73.95608
654,"Graham Ave & Grand St",40.711863,-73.944024
1000,"Hope St & Union Ave",40.71167351,-73.95141312
432,"Bushwick Ave & Powers St",40.71247661,-73.94100005
616,"Roebling St & N 4 St",40.71469,-73.95739
630,"Graham Ave & Conselyea St",40.715143,-73.944507
520,"Metropolitan Ave & Meeker Ave",40.71413311,-73.95234386
232,"Union Ave & Jackson St",40.7160751,-73.952029
929,"Murray St & West St",40.7149787,-74.013012
645,"Berry St & N 8 St",40.7190095,-73.95852515
865,"N 6 St & Bedford Ave",40.71745169,-73.95850939
386,"Graham Ave & Withers St",40.7169811,-73.94485918
254,"Graham Ave & Herbert St",40.71929301,-73.94500379
1246,"Union Ave & N 12 St",40.71924,-73.95242
343,"State St & Smith St",40.68926942,-73.98912867
485,"Nassau Ave & Newell St",40.724812564400175,-73.94752621650696
783,"N 12 St & Bedford Ave",40.72079821,-73.95484712
585,"Driggs Ave & Lorimer St",40.72179134,-73.9504154
